transaction_id;customer_id;transaction_date;online_order;order_status;list_price;new_product_id
2463;3500;25.04.2017;False;Approved;71.49;22
6309;3500;09.01.2017;True;Approved;792.9;134
8416;3500;16.02.2017;False;Approved;1228.07;142
8562;3500;08.08.2017;False;Approved;1311.44;76
14870;3500;11.01.2017;False;Approved;60.34;57
19836;3500;14.03.2017;True;Approved;1458.17;87
747;3499;21.06.2017;False;Approved;642.7;74
2433;3499;25.02.2017;True;Approved;1769.64;94
2794;3499;12.01.2017;False;Approved;478.16;122
3902;3499;22.06.2017;True;Approved;1403.5;19
7386;3499;01.03.2017;True;Approved;1890.39;114
12434;3499;25.04.2017;False;Approved;945.04;82
18403;3499;09.11.2017;True;Approved;544.05;131
1244;3498;21.02.2017;True;Approved;175.89;104
2692;3498;25.08.2017;False;Approved;100.35;171
5028;3498;25.07.2017;True;Approved;2083.94;157
13469;3498;03.02.2017;True;Approved;1231.15;40
15666;3498;07.06.2017;True;Approved;1227.34;186
17866;3498;10.02.2017;True;Approved;358.39;185
6926;3497;08.11.2017;True;Approved;1403.5;19
8276;3497;01.09.2017;True;Approved;575.27;50
10493;3497;12.09.2017;False;Approved;1765.3;148
3479;3496;18.04.2017;True;Approved;1945.43;141
9232;3496;15.04.2017;True;Approved;543.39;68
9769;3496;07.03.2017;False;Approved;574.64;27
18797;3496;02.04.2017;True;Approved;1661.92;46
4395;3495;12.12.2017;True;Approved;1179;75
4771;3495;17.12.2017;True;Approved;533.51;16
10794;3495;21.03.2017;False;Approved;2005.66;62
14985;3495;11.02.2017;False;Approved;1483.2;25
18035;3495;13.01.2017;True;Approved;544.05;3
18178;3495;24.01.2017;False;Approved;1071.23;132
19948;3495;28.02.2017;False;Approved;1810;77
4369;3494;26.12.2017;True;Approved;1538.99;155
9577;3494;08.09.2017;True;Approved;533.51;16
15474;3494;24.07.2017;False;Approved;958.74;89
18470;3494;08.04.2017;False;Approved;2091.47;85
619;3493;16.03.2017;False;Approved;1765.3;39
2020;3493;28.09.2017;True;Approved;2005.66;62
5090;3493;29.06.2017;True;Approved;1172.78;145
9499;3493;28.07.2017;True;Approved;1810;77
13548;3493;30.06.2017;True;Approved;1216.14;33
18717;3493;19.05.2017;True;Approved;2083.94;150
6765;3492;03.09.2017;False;Approved;1793.43;83
15591;3492;11.10.2017;False;Approved;1274.93;37
18129;3492;10.06.2017;True;Approved;1073.07;151
1282;3491;02.02.2017;False;Approved;202.62;183
6569;3491;24.06.2017;True;Approved;642.7;74
14219;3491;29.04.2017;False;Approved;1762.96;100
19444;3491;13.05.2017;True;Approved;543.39;68
2225;3490;02.07.2017;True;Approved;1403.5;80
2496;3490;18.03.2017;False;Approved;227.88;9
3525;3490;01.01.2017;True;Approved;642.7;103
17257;3490;17.07.2017;False;Approved;1172.78;145
18685;3490;12.06.2017;True;Approved;1292.84;45
2810;3489;07.04.2017;True;Approved;792.9;134
5565;3489;14.02.2017;True;Approved;1775.81;53
6733;3489;05.04.2017;False;Approved;1765.3;148
7025;3489;26.01.2017;False;Approved;752.64;160
13472;3489;13.09.2017;False;Approved;1403.5;19
15729;3489;16.07.2017;True;Approved;1810;91
871;3488;22.10.2017;False;Approved;1577.53;84
16036;3488;13.12.2017;False;Approved;590.26;129
244;3487;20.12.2017;True;Approved;1992.93;125
3155;3487;17.05.2017;False;Approved;1179;75
4505;3487;04.07.2017;True;Approved;543.39;3
727;3486;09.12.2017;False;Approved;1635.3;177
8739;3486;24.06.2017;False;Approved;1228.07;142
9129;3486;27.04.2017;True;Approved;1362.99;168
12572;3486;21.12.2017;True;Approved;495.72;137
8734;3485;05.12.2017;True;Approved;1890.39;174
14360;3485;05.03.2017;False;Approved;360.4;5
17642;3485;29.05.2017;True;Cancelled;912.52;140
391;3484;12.10.2017;False;Approved;774.53;161
3163;3484;03.09.2017;False;Approved;1240.31;135
3375;3484;19.09.2017;True;Approved;1228.07;160
6490;3484;20.06.2017;False;Approved;2091.47;85
7955;3484;27.02.2017;;Approved;1762.96;142
8496;3484;28.02.2017;True;Approved;1198.46;59
10734;3484;18.02.2017;False;Approved;1873.97;20
1766;3483;04.09.2017;False;Approved;416.98;12
4773;3483;29.04.2017;True;Approved;1842.92;42
5738;3483;03.01.2017;True;Approved;1977.36;126
6572;3483;23.03.2017;True;Approved;1274.93;108
8265;3483;01.04.2017;True;Approved;1386.84;189
11001;3483;20.02.2017;True;Approved;1179;75
610;3482;20.10.2017;False;Approved;752.64;160
5909;3482;11.01.2017;True;Approved;1228.07;142
6719;3482;12.03.2017;False;Approved;1777.8;60
7493;3482;02.04.2017;False;Approved;1403.5;19
12666;3482;10.07.2017;False;Approved;1469.44;127
